,ItemNumber,Category,CategoryName,ItemDescription,BottleVolume(ml),Proof,Imported,Type
3824,973516,1081400.0,american schnapps,dekuyper cactus juice,750.0,30.0,domestic,schnapps
3825,920301,1011300.0,single barrel bourbon whiskies,old elk wheated bourbon single barrel,750.0,110.0,domestic,whiskey
3826,26436,1701100.0,temporary & specialty packages,revenant rye,375.0,90.0,domestic,other
3827,997975,1012400.0,irish whiskies,the whistler calvados cask finish irish whiskey,750.0,86.0,domestic,whiskey
3828,903391,,,moletto grappa d'nebbiolo,750.0,80.0,imported,vodka
3829,991592,1011100.0,blended whiskies,ha old elk infinity blend,750.0,115.0,domestic,whiskey
3830,915177,1011600.0,straight rye whiskies,ha whistlepig boss hog viii lapulapus pacific,750.0,105.0,domestic,whiskey
3831,20305,1701100.0,temporary & specialty packages,old elk sour mash bourbon,750.0,105.0,domestic,whiskey
3832,917096,1901200.0,special order items,buck bourbon 8 year,750.0,90.0,domestic,whiskey
3833,100901,1701100.0,temporary & specialty packages,old elk blended bourbon vap,750.0,88.0,domestic,whiskey
