,StoreNumber,StoreName,County,CountyNumber,City,ZipCode,StoreLocation,Address,StoreType
1624,5120,casey's general store #3442 / maplet,monona,67,mapleton,51034,POINT (-95.793241 42.16184700000001),"401, s  4th  st",Convenience
1625,4882,casey's general store #3026 / st charles,madison,61,st charles,50240,POINT (-93.803774 41.288487),209 e main st,Convenience
1626,5987,casey's general store #2479 / north liberty,johnson,52,north liberty,52317,POINT (-91.608139 41.744933),625 w. zeller st,Convenience
1627,4500,casey's general store #2788 / north liberty,johnson,52,north liberty,52317,POINT (-91.636952 41.751925),595 n kansas ave,Convenience
1628,5972,casey's general store #1623 / indianola,warren,91,indianola,50125,POINT (-93.558407 41.36615400000001),607 n. jefferson way,Convenience
1629,6210,bailey's convenience / sioux city,woodbury,97,sioux city,51104,POINT (-96.422992 42.494265),1203 tri view avenue,Convenience
1630,4723,walgreens #10557 / cedar falls,black hawk,7,cedar falls,50613,POINT (-92.476153 42.540389),2509 whitetail dr,Drug
1631,5006,kwik stop 16th street #325,dubuque,31,dubuque,52001,POINT (-90.65613000000002 42.511655),1210 e 16th st,Convenience
1632,5793,casey's general store #1265 / sibley,osceola,72,sibley,51249,POINT (-95.751517 43.401504),702 2nd ave,Convenience
1633,5202,casey's general store #2900 / gilber,black hawk,7,gilbertville,50634,POINT (-92.218712 42.424125),"115, 25th  ave",Convenience
1634,4560,casey's general store #2914 / harlan,shelby,83,harlan,51537,POINT (-95.322969 41.645404),"1006, chatburn ave",Convenience
1635,2844,cvs pharmacy #8547 / iowa city,johnson,52,iowa city,52240,POINT (-91.50008800000002 41.649547),2425 muscatine ave,Drug
1636,5624,casey's general store #1065 / asbury,dubuque,31,dubuque,52002,POINT (-90.758554 42.510488),5505 asbury rd,Convenience
1637,5096,walgreens #11710 / north liberty,johnson,52,north liberty,52317,POINT (-91.606273 41.752793),625 pacha parkway,Drug
1638,4766,keywest conoco / dubuque,dubuque,31,dubuque,52003,POINT (-90.674579 42.459905),2150 twin valley dr,Other
1639,5711,casey's general store #2864/evansdale,black hawk,7,evansdale,50707,POINT (-92.297763 42.463655),1038 river forest road,Convenience
1640,5797,casey's general store #1649 / waverly,bremer,9,waverly,50677,POINT (-92.486805 42.725642),1312 w bremer ave,Convenience
1641,5421,yesway # 1009/ harlan,shelby,83,harlan,51537,POINT (-95.318597 41.656803),618 durant street,Convenience
1642,6211,mcelroy's food / winthrop,buchanan,10,winthrop,50682,POINT (-92.53666400000002 42.951717),135 madison street,Other Grocery
1643,6022,terry's food center / dysart,tama,86,dysart,52224,POINT (-92.30769 42.171406),305 crisman st,Other Grocery
1644,5979,casey's general store #2665 / woodbine,harrison,43,woodbine,51579,POINT (-95.703113 41.738436),602 lincolnway st,Convenience
1645,6265,kc store / stratford,hamilton,40,stratford,50249,POINT (-93.927354 42.267776),810 ia-175,Other
1646,4858,hwy 34 truckstop,des moines,29,west burlington,52655,POINT (-91.208324 40.82658),4305 w mt pleasant,Convenience
1647,5301,yesway store # 10012/ ottumwa,wapello,90,ottumwa,52501,POINT (-92.409169 41.051858),2508 court st n,Convenience
1648,6051,casey's general store #1712 / shenandoah,page,73,shenandoah,51601,POINT (-95.385108 40.76144),605 s fremont st,Convenience
1649,6084,circle k #22654123 / boone,boone,8,boone,50336,POINT (-93.879991 42.058784),315 story st,Convenience
1650,5751,casey's general store #2346 / burlington,des moines,29,burlington,52601,POINT (-91.117485 40.780118),2630 summer st,Convenience
1651,4361,quik trip #538 / nw 2nd / dsm,polk,77,des moines,50313,POINT (-93.619906 41.643664),4575 nw 2nd,Convenience
1652,6258,fort madison tobacco and liquor outlet plus / fort madison,lee,56,fort madison,52627,POINT (-91.329796 40.63021),1735 avenue h,Liquor/Tobacco
1653,5439,mt. pleasant fast break,henry,44,mount pleasant,52641,POINT (-91.551598 40.965272),201 e. washington st.,Other
1654,5601,casey's general store #1889 / monticello,jones,53,monticello,52310,POINT (-91.186135 42.232296),627 s main st,Convenience
1655,4532,casey's general store #2274 / sioux rapids,buena vista,11,sioux rapids,50585,POINT (-95.152943 42.88744),720 hwy 71,Convenience
